Playlist A, Playlist B, Feature, Cosine Similarity
7,11,Acousticness,0.14
7,12,Acousticness,0.20
8,9,Acousticness,0.22
8,10,Acousticness,0.16
8,11,Acousticness,0.51
8,12,Acousticness,0.34
9,10,Acousticness,0.30
9,11,Acousticness,0.30
9,12,Acousticness,0.33
10,11,Acousticness,0.24
10,12,Acousticness,0.24
11,12,Acousticness,0.40
0,1,Instrumentalness,0.09
0,2,Instrumentalness,0.00
0,3,Instrumentalness,0.03
0,4,Instrumentalness,0.00
0,5,Instrumentalness,0.01
0,6,Instrumentalness,0.36
0,7,Instrumentalness,0.02
0,8,Instrumentalness,0.10
0,9,Instrumentalness,0.00
0,10,Instrumentalness,0.00
0,11,Instrumentalness,0.02
0,12,Instrumentalness,0.30
1,2,Instrumentalness,0.07
1,3,Instrumentalness,0.41
1,4,Instrumentalness,0.01
1,5,Instrumentalness,0.01
1,6,Instrumentalness,0.09
1,7,Instrumentalness,0.04
1,8,Instrumentalness,0.10
1,9,Instrumentalness,0.03
1,10,Instrumentalness,0.00
1,11,Instrumentalness,0.11
1,12,Instrumentalness,0.00
2,3,Instrumentalness,0.02
2,4,Instrumentalness,0.01
2,5,Instrumentalness,0.01
2,6,Instrumentalness,0.00
2,7,Instrumentalness,0.02
2,8,Instrumentalness,0.01
2,9,Instrumentalness,0.00
2,10,Instrumentalness,0.00
2,11,Instrumentalness,0.54
2,12,Instrumentalness,0.00
3,4,Instrumentalness,0.00
3,5,Instrumentalness,0.34
3,6,Instrumentalness,0.00
3,7,Instrumentalness,0.08
3,8,Instrumentalness,0.08
3,9,Instrumentalness,0.01
3,10,Instrumentalness,0.00
3,11,Instrumentalness,0.00
3,12,Instrumentalness,0.00
4,5,Instrumentalness,0.00
4,6,Instrumentalness,0.00
4,7,Instrumentalness,0.00
4,8,Instrumentalness,0.10
4,9,Instrumentalness,0.02
4,10,Instrumentalness,0.14
4,11,Instrumentalness,0.00
4,12,Instrumentalness,0.00
5,6,Instrumentalness,0.01
5,7,Instrumentalness,0.00
5,8,Instrumentalness,0.03
5,9,Instrumentalness,0.00
5,10,Instrumentalness,0.00
5,11,Instrumentalness,0.01
5,12,Instrumentalness,0.00
6,7,Instrumentalness,0.00
6,8,Instrumentalness,0.00
6,9,Instrumentalness,0.00
6,10,Instrumentalness,0.02
6,11,Instrumentalness,0.04
