Playlist A, Playlist B, Feature, Cosine Similarity
4,9,Mode,0.56
4,10,Mode,0.59
4,11,Mode,0.50
4,12,Mode,0.41
4,13,Mode,0.37
4,14,Mode,0.38
4,15,Mode,0.39
5,6,Mode,0.58
5,7,Mode,0.50
5,8,Mode,0.49
5,9,Mode,0.27
5,10,Mode,0.42
5,11,Mode,0.48
5,12,Mode,0.62
5,13,Mode,0.67
5,14,Mode,0.60
5,15,Mode,0.62
6,7,Mode,0.43
6,8,Mode,0.54
6,9,Mode,0.33
6,10,Mode,0.49
6,11,Mode,0.49
6,12,Mode,0.53
6,13,Mode,0.49
6,14,Mode,0.53
6,15,Mode,0.53
7,8,Mode,0.35
7,9,Mode,0.20
7,10,Mode,0.32
7,11,Mode,0.35
7,12,Mode,0.43
7,13,Mode,0.52
7,14,Mode,0.51
7,15,Mode,0.47
8,9,Mode,0.34
8,10,Mode,0.47
8,11,Mode,0.53
8,12,Mode,0.43
8,13,Mode,0.44
8,14,Mode,0.47
8,15,Mode,0.39
9,10,Mode,0.44
9,11,Mode,0.33
9,12,Mode,0.28
9,13,Mode,0.24
9,14,Mode,0.25
9,15,Mode,0.25
10,11,Mode,0.50
10,12,Mode,0.40
10,13,Mode,0.38
10,14,Mode,0.39
10,15,Mode,0.36
11,12,Mode,0.34
11,13,Mode,0.38
11,14,Mode,0.40
11,15,Mode,0.39
12,13,Mode,0.58
12,14,Mode,0.54
12,15,Mode,0.55
13,14,Mode,0.53
13,15,Mode,0.62
14,15,Mode,0.49
0,1,Speechiness,0.47
0,2,Speechiness,0.35
0,3,Speechiness,0.47
0,4,Speechiness,0.30
0,5,Speechiness,0.46
0,6,Speechiness,0.49
0,7,Speechiness,0.35
0,8,Speechiness,0.39
0,9,Speechiness,0.25
0,10,Speechiness,0.40
0,11,Speechiness,0.41
0,12,Speechiness,0.48
0,13,Speechiness,0.46
0,14,Speechiness,0.47
0,15,Speechiness,0.50
1,2,Speechiness,0.36
1,3,Speechiness,0.44
1,4,Speechiness,0.38
1,5,Speechiness,0.43
1,6,Speechiness,0.49
1,7,Speechiness,0.31
1,8,Speechiness,0.50
1,9,Speechiness,0.25
1,10,Speechiness,0.44
1,11,Speechiness,0.45
1,12,Speechiness,0.43
1,13,Speechiness,0.42
1,14,Speechiness,0.48
1,15,Speechiness,0.41
2,3,Speechiness,0.33
2,4,Speechiness,0.22
2,5,Speechiness,0.37
2,6,Speechiness,0.37
2,7,Speechiness,0.59
2,8,Speechiness,0.23
2,9,Speechiness,0.16
2,10,Speechiness,0.30
2,11,Speechiness,0.29
2,12,Speechiness,0.47
2,13,Speechiness,0.50
2,14,Speechiness,0.39
2,15,Speechiness,0.40
3,4,Speechiness,0.31
3,5,Speechiness,0.42
3,6,Speechiness,0.49
3,7,Speechiness,0.37
3,8,Speechiness,0.41
3,9,Speechiness,0.25
3,10,Speechiness,0.43
3,11,Speechiness,0.38
3,12,Speechiness,0.42
3,13,Speechiness,0.41
3,14,Speechiness,0.55
3,15,Speechiness,0.42
4,5,Speechiness,0.28
4,6,Speechiness,0.37
4,7,Speechiness,0.21
4,8,Speechiness,0.40
4,9,Speechiness,0.36
4,10,Speechiness,0.43
4,11,Speechiness,0.41
4,12,Speechiness,0.33
4,13,Speechiness,0.28
4,14,Speechiness,0.32
4,15,Speechiness,0.29
5,6,Speechiness,0.43
5,7,Speechiness,0.35
5,8,Speechiness,0.30
5,9,Speechiness,0.23
5,10,Speechiness,0.40
5,11,Speechiness,0.41
5,12,Speechiness,0.52
5,13,Speechiness,0.52
5,14,Speechiness,0.53
5,15,Speechiness,0.54
6,7,Speechiness,0.45
6,8,Speechiness,0.47
6,9,Speechiness,0.27
6,10,Speechiness,0.43
6,11,Speechiness,0.44
6,12,Speechiness,0.46
6,13,Speechiness,0.41
6,14,Speechiness,0.47
6,15,Speechiness,0.42
7,8,Speechiness,0.24
7,9,Speechiness,0.18
7,10,Speechiness,0.28
7,11,Speechiness,0.29
7,12,Speechiness,0.46
7,13,Speechiness,0.54
7,14,Speechiness,0.39
7,15,Speechiness,0.43
8,9,Speechiness,0.27
8,10,Speechiness,0.47
8,11,Speechiness,0.51
8,12,Speechiness,0.33
8,13,Speechiness,0.31
8,14,Speechiness,0.33
8,15,Speechiness,0.29
9,10,Speechiness,0.32
9,11,Speechiness,0.31
9,12,Speechiness,0.26
9,13,Speechiness,0.20
9,14,Speechiness,0.25
9,15,Speechiness,0.20
10,11,Speechiness,0.48
10,12,Speechiness,0.37
10,13,Speechiness,0.38
10,14,Speechiness,0.40
10,15,Speechiness,0.36
11,12,Speechiness,0.39
11,13,Speechiness,0.38
11,14,Speechiness,0.41
11,15,Speechiness,0.37
12,13,Speechiness,0.53
12,14,Speechiness,0.58
12,15,Speechiness,0.48
13,14,Speechiness,0.55
13,15,Speechiness,0.62
14,15,Speechiness,0.51
0,1,Acousticness,0.37
0,2,Acousticness,0.20
0,3,Acousticness,0.35
0,4,Acousticness,0.23
0,5,Acousticness,0.39
0,6,Acousticness,0.26
0,7,Acousticness,0.22
0,8,Acousticness,0.32
0,9,Acousticness,0.15
0,10,Acousticness,0.26
0,11,Acousticness,0.35
0,12,Acousticness,0.24
0,13,Acousticness,0.26
0,14,Acousticness,0.28
0,15,Acousticness,0.26
1,2,Acousticness,0.39
1,3,Acousticness,0.46
1,4,Acousticness,0.35
1,5,Acousticness,0.47
1,6,Acousticness,0.41
1,7,Acousticness,0.22
1,8,Acousticness,0.42
1,9,Acousticness,0.22
1,10,Acousticness,0.37
1,11,Acousticness,0.54
1,12,Acousticness,0.35
1,13,Acousticness,0.35
1,14,Acousticness,0.32
1,15,Acousticness,0.31
2,3,Acousticness,0.39
2,4,Acousticness,0.18
2,5,Acousticness,0.46
2,6,Acousticness,0.31
2,7,Acousticness,0.42
2,8,Acousticness,0.28
2,9,Acousticness,0.12
2,10,Acousticness,0.16
2,11,Acousticness,0.38
2,12,Acousticness,0.41
2,13,Acousticness,0.36
2,14,Acousticness,0.28
2,15,Acousticness,0.34
3,4,Acousticness,0.28
3,5,Acousticness,0.38
3,6,Acousticness,0.39
3,7,Acousticness,0.27
3,8,Acousticness,0.37
3,9,Acousticness,0.19
3,10,Acousticness,0.26
3,11,Acousticness,0.53
3,12,Acousticness,0.36
3,13,Acousticness,0.35
3,14,Acousticness,0.29
3,15,Acousticness,0.30
4,5,Acousticness,0.24
4,6,Acousticness,0.27
4,7,Acousticness,0.14
4,8,Acousticness,0.28
4,9,Acousticness,0.27
4,10,Acousticness,0.39
4,11,Acousticness,0.35
4,12,Acousticness,0.23
4,13,Acousticness,0.20
4,14,Acousticness,0.18
4,15,Acousticness,0.23
5,6,Acousticness,0.35
5,7,Acousticness,0.39
5,8,Acousticness,0.33
5,9,Acousticness,0.18
5,10,Acousticness,0.26
5,11,Acousticness,0.44
5,12,Acousticness,0.42
5,13,Acousticness,0.45
5,14,Acousticness,0.41
5,15,Acousticness,0.43
6,7,Acousticness,0.21
6,8,Acousticness,0.33
6,9,Acousticness,0.20
6,10,Acousticness,0.26
6,11,Acousticness,0.48
6,12,Acousticness,0.31
6,13,Acousticness,0.26
6,14,Acousticness,0.25
6,15,Acousticness,0.27
7,8,Acousticness,0.23
7,9,Acousticness,0.12
7,10,Acousticness,0.18
7,11,Acousticness,0.26
7,12,Acousticness,0.25
7,13,Acousticness,0.41
7,14,Acousticness,0.20
7,15,Acousticness,0.31
8,9,Acousticness,0.25
8,10,Acousticness,0.30
8,11,Acousticness,0.43
8,12,Acousticness,0.29
8,13,Acousticness,0.27
8,14,Acousticness,0.36
8,15,Acousticness,0.24
9,10,Acousticness,0.22
9,11,Acousticness,0.25
9,12,Acousticness,0.13
9,13,Acousticness,0.15
9,14,Acousticness,0.18
9,15,Acousticness,0.16
10,11,Acousticness,0.42
