artists,occurrence,freqency
"Poppy,Diplo",1,0.022727
"HOLYCHILD,RAC",1,0.022727
"Ramones",1,0.022727
"Música Para Bebés Exigentes de I’m In Records",1,0.022727
"Sub Focus",1,0.022727
"Electric Six",1,0.022727
"Timbuk 3",2,0.045455
"Icona Pop,Charli xcx",3,0.068182
"Metric,Brie Larson",1,0.022727
"Bella Poarch,Grimes",1,0.022727
"Rina Sawayama",3,0.068182
"Miracle Of Sound",1,0.022727
"Shiny Toy Guns",1,0.022727
"The Pretty Reckless",1,0.022727
"Queen",6,0.136364
"Julianna Joy",1,0.022727
"Fuzzbox",1,0.022727
"Deftones",1,0.022727
"The Rumblers",1,0.022727
"The Atlantics",1,0.022727
"Hole",1,0.022727
"Kings of Leon",2,0.045455
"Old 97's",1,0.022727
"Steps",1,0.022727
"The Hives",1,0.022727
"The Ink Spots",8,0.181818
"Elvis Presley",3,0.068182
"Sammy Salvo",1,0.022727
"Slim Gaillard",2,0.045455
"Grover Washington, Jr.,Bill Withers",1,0.022727
"Europe",1,0.022727
"Dio",1,0.022727
"Izzy Bardot",1,0.022727
"The Dresden Dolls",1,0.022727
"Tom Jones,Mousse T.",1,0.022727
"The Stage-Men",1,0.022727
"Azul Azul",2,0.045455
"Tears For Fears",3,0.068182
"Wanda Jackson",1,0.022727
"Linkin Park",1,0.022727
"Pomplamoose",1,0.022727
"The Cranberries",2,0.045455
"Donots",1,0.022727
"Garbage",2,0.045455
"Gary Jules,Michael Andrews",2,0.045455
"Alicia Keys",2,0.045455
"RDR3",1,0.022727
"Nouvelle Vague,Silja",1,0.022727
"bbno$,Rebecca Black",1,0.022727
"Beats International,Norman Cook",1,0.022727
"FEMM,Elle Teresa",1,0.022727
"Rita Ora,Bebe Rexha,Charli xcx,Cardi B",1,0.022727
"Ladyhawke",1,0.022727
"All Saints,Nelle Hooper",1,0.022727
"Miley Cyrus,Stevie Nicks",1,0.022727
"Pearl Harbour",1,0.022727
"OK Go",1,0.022727
"The Strokes",2,0.045455
"Pixies",3,0.068182
"The Beatles",3,0.068182
"Fugazi",2,0.045455
"Nu Genea,Célia Kameni",1,0.022727
