artists,occurrence,freqency
"Saweetie",2,0.133333
"Lil Wayne,Drake",1,0.066667
"Mustard,Roddy Ricch",1,0.066667
"Chris Brown,Tyga",1,0.066667
"Chief Keef,50 Cent,Wiz Khalifa",1,0.066667
"F.L.Y. (Fast Life Yungstaz),Easton",1,0.066667
"D4L",1,0.066667
"Drake,Lil Wayne",1,0.066667
"Lil Wayne,Cory Gunz",1,0.066667
"A$AP Rocky,Skepta",1,0.066667
"Kodak Black",2,0.133333
"Kstylis",1,0.066667
"Kanye West,Chris Martin",1,0.066667
"T-Pain,Yung Joc",2,0.133333
"Tyga",1,0.066667
"Jeremih,YG",1,0.066667
"A$AP Ferg,French Montana,A$AP Rocky,Trinidad James,ScHoolboy Q",1,0.066667
"Kanye West,Big Sean,Pusha T,2 Chainz",1,0.066667
"A$AP Rocky,Drake,2 Chainz,Kendrick Lamar",1,0.066667
"YG,2 Chainz,Big Sean,Nicki Minaj",1,0.066667
"Lil Wayne,Drake,Future",1,0.066667
"Drake,Kanye West,Lil Wayne,Eminem",1,0.066667
"Lil Jon & The East Side Boyz,Ying Yang Twins",1,0.066667
"Juicy J,Lil Wayne,2 Chainz",1,0.066667
"Ty Dolla $ign,Joe Moses",1,0.066667
"Rich Homie Quan",1,0.066667
"French Montana,Rick Ross,Drake,Lil Wayne",1,0.066667
"K CAMP",1,0.066667
"Mura Masa,A$AP Rocky",1,0.066667
"Kid Ink,Chris Brown",2,0.133333
"Nicky Jam,J Balvin",1,0.066667
"Bad Bunny,Drake",3,0.200000
"Post Malone,Swae Lee,Nicky Jam,Prince Royce,G.O.K.B.",1,0.066667
"IShowSpeed",1,0.066667
"Foreign Reefy",1,0.066667
"B.o.B,2 Chainz",1,0.066667
"Boosie Badazz,Webbie,Foxx",1,0.066667
"Drake,21 Savage,Project Pat",1,0.066667
"YG,Drake,Kamaiyah",1,0.066667
"Elvis Crespo",1,0.066667
"Trey Songz,Nicki Minaj",1,0.066667
"Majestic,Boney M.",1,0.066667
"Ritmo Fuerte",1,0.066667
"Joel Corry,Jax Jones,Charli xcx,Saweetie",1,0.066667
"Syzz",1,0.066667
"David Guetta,Kid Cudi",3,0.200000
"Blac Youngsta",1,0.066667
"DJ Telly Tellz",1,0.066667
"Mustard,Quavo,YG",1,0.066667
"Konshens",1,0.066667
"Wizkid",1,0.066667
"T-Pain,B.o.B",2,0.133333
"Young Money,Drake",1,0.066667
"J-Kwon",1,0.066667
"Beyoncé,JAY-Z,Kanye West",1,0.066667
"T.I.",1,0.066667
"Wes Walker,Dyl",1,0.066667
"YoungBoy Never Broke Again",1,0.066667
"V.I.C.",1,0.066667
"Anuel AA,Daddy Yankee,KAROL G,J Balvin,Ozuna",1,0.066667
"DJ Snake,Selena Gomez,Ozuna,Cardi B",1,0.066667
"GAYLE",1,0.066667
"Mac Miller",1,0.066667
"Joel Corry,MNEK,Tiësto",1,0.066667
"Tiësto,Matthew Koma",2,0.133333
"Rihanna,Drake",1,0.066667
"USHER,will.i.am",1,0.066667
"DJ Khaled,T-Pain,Ludacris,Snoop Dogg,Rick Ross",1,0.066667
"Pitbull,AFROJACK,Ne-Yo,Nayer",1,0.066667
"Mustard,Migos",1,0.066667
"A$AP Ferg",1,0.066667
"Migos,Nicki Minaj,Cardi B",1,0.066667
"Calvin Harris,Pharrell Williams,Katy Perry,Big Sean",1,0.066667
"French Montana,Swae Lee",1,0.066667
"YFN Lucci,PnB Rock",1,0.066667
"Snoop Dogg,Wiz Khalifa,Bruno Mars",1,0.066667
"Bobby Shmurda",1,0.066667
"Sophie Ellis-Bextor",1,0.066667
"Drake,Sexyy Red,SZA",1,0.066667
"Sexyy Red",3,0.200000
"In A Hopeless Place",1,0.066667
"Doja Cat,SZA",1,0.066667
"Major Lazer,DJ Snake,MØ",1,0.066667
"Calvin Harris,Dua Lipa",1,0.066667
"LMFAO,Lauren Bennett,GoonRock",1,0.066667
"Rihanna,Calvin Harris",2,0.133333
"Pitbull,Kesha",1,0.066667
"USHER,Pitbull",1,0.066667
"Dua Lipa,DaBaby",2,0.133333
"Shouse,David Guetta",1,0.066667
"Don Omar,Lucenzo",1,0.066667
"Calvin Harris,Florence Welch",1,0.066667
"Meek Mill,Drake",1,0.066667
"Jack Harlow",1,0.066667
"Lupe Fiasco",1,0.066667
"Rednex",1,0.066667
"Sammy Adams,B.o.B",1,0.066667
"DJ Khaled",1,0.066667
"Waterfront Wranglers",1,0.066667
"¥$,Kanye West,Ty Dolla $ign,Rich The Kid,Playboi Carti",1,0.066667
"6ix9ine,Nicki Minaj,Murda Beatz",1,0.066667
"Natasha Bedingfield",1,0.066667
"T.I.,Rihanna",1,0.066667
"Kanye West,Jamie Foxx",1,0.066667
"Pitbull,John Ryan",2,0.133333
"Sean Paul,Dua Lipa",1,0.066667
"Black Eyed Peas,J Balvin",1,0.066667
"Master KG,Nomcebo Zikode",1,0.066667
"Charly Black,Daddy Yankee",1,0.066667
"The Stickmen Project,AR/CO",1,0.066667
"Nathan Dawe,Ella Henderson",1,0.066667
"Alan Walker,Dash Berlin,Vikkstar",1,0.066667
"J Balvin,Maria Becerra",1,0.066667
"Badger,Natasha Bedingfield",1,0.066667
"Bakermat",1,0.066667
"TECH IT DEEP",1,0.066667
"ANOTR,Abel Balder",1,0.066667
"Zac Brown Band",1,0.066667
"Luke Combs",2,0.133333
"Luke Combs,Brooks & Dunn",1,0.066667
"Luke Bryan",1,0.066667
"Central Cee",1,0.066667
"Zach Bryan",2,0.133333
"Morgan Wallen",1,0.066667
"Barrett Wilbert Weed,Erika Henningsen",1,0.066667
"Sam Smith,Kim Petras",2,0.133333
"cupcakKe",2,0.133333
"LIZ",1,0.066667
"Baby Tate",1,0.066667
"Annie Murphy",1,0.066667
"Chrissy Chlapecka",10,0.666667
"Toni Basil",1,0.066667
"Bonnie Tyler",1,0.066667
"Ghost",1,0.066667
"Scene Queen,MOTHICA",1,0.066667
"KiNG MALA",1,0.066667
"Barrett Wilbert Weed,Erika Henningsen,Original Broadway Cast of Mean Girls",1,0.066667
"Ashnikko,Princess Nokia",1,0.066667
"Grey Henson,Barrett Wilbert Weed,Taylor Louderman,Ashley Park,Kate Rockwell,Erika Henningsen",1,0.066667
"SIX",2,0.133333
"Snow Wife",1,0.066667
"Devon Cole",1,0.066667
"Paris Paloma",1,0.066667
"SIX,Christina Modestou",1,0.066667
"SIX,Aimie Atkinson",1,0.066667
"Ashnikko",2,0.133333
"Ashnikko,Baby Tate",1,0.066667
"Kate Rockwell,Original Broadway Cast of Mean Girls",1,0.066667
"Cat Janice",3,0.200000
"UPSAHL",1,0.066667
"Cardi B,Megan Thee Stallion",1,0.066667
"Cardi B",1,0.066667
"Fleetwood Mac",2,0.133333
"Stevie Nicks",1,0.066667
"Måneskin",5,0.333333
"Lady Gaga,Beyoncé",1,0.066667
"Garfunkel and Oates",1,0.066667
"Scene Queen,6arelyhuman",2,0.133333
"Set It Off,Scene Queen",1,0.066667
"Reneé Rapp,Megan Thee Stallion",1,0.066667
"Reneé Rapp,Cast of Mean Girls",1,0.066667
"OMI",1,0.066667
"Hozier",1,0.066667
"Maren Morris,Hozier",1,0.066667
"Smosh,bbno$",1,0.066667
"Chappell Roan",10,0.666667
"Lil Nas X,Jack Harlow",1,0.066667
"Lil Nas X",1,0.066667
"Billie Eilish",4,0.266667
"José Feliciano,Ewan McGregor,Jacek Koman",1,0.066667
"leydown",1,0.066667
"Alan Cumming,Cabaret Ensemble (1998)",1,0.066667
"Erin Hill,Michael O'Donnell,Alan Cumming",1,0.066667
"Scene Queen,WARGASM (UK)",1,0.066667
"CORPSE,OmenXIII",1,0.066667
"CORPSE,Savage Ga$p",1,0.066667
"Demi Lovato",1,0.066667
"Fifth Harmony",2,0.133333
"Aliyah's Interlude",1,0.066667
"Tessa Violet",1,0.066667
"EMELINE",1,0.066667
"Mother Mother",2,0.133333
"Imagine Dragons,JID,Arcane,League of Legends",1,0.066667
"Taylor Swift,Ice Spice",1,0.066667
"Paris Hilton,Kim Petras",1,0.066667
"Tevin Campbell,Rosie Gaines",1,0.066667
"Gwen Stefani,Johnny Vulture",1,0.066667
"Ava Max",1,0.066667
"Doja Cat,Gucci Mane",1,0.066667
"Keri Hilson",1,0.066667
"Fergie,will.i.am",1,0.066667
"Taylor Swift,Kendrick Lamar",1,0.066667
"Lil Mama",1,0.066667
"Avril Lavigne,Lil Mama,Dr. Luke",1,0.066667
"Fergie,Ludacris",2,0.133333
"Paris Hilton",1,0.066667
"Hilary Duff",1,0.066667
"Lindsay Lohan",1,0.066667
"Hayley Kiyoko",1,0.066667
"Mandy Moore",1,0.066667
"Ashley O",1,0.066667
"Britney Spears,Iggy Azalea",1,0.066667
"Elton John",4,0.266667
"Modern English",2,0.133333
"Sting",1,0.066667
"Talking Heads",2,0.133333
"Blue Öyster Cult",1,0.066667
"Oingo Boingo",3,0.200000
"Hinder",1,0.066667
"Shinedown",1,0.066667
"Daughtry",3,0.200000
"Nickelback",2,0.133333
"Creed",4,0.266667
