tracks,occurrence,freqency
"Monster",2,0.200000
"Everyday",1,0.100000
"NOKIA",1,0.100000
"Dark Knight Dummo (feat. Travis Scott)",1,0.100000
"Life Goes On",1,0.100000
"Shoota (feat. Lil Uzi Vert)",2,0.200000
"Leave Me Alone",1,0.100000
"Solo",1,0.100000
"HYFR (Hell Ya Fucking Right)",1,0.100000
"NBAYOUNGBOAT",1,0.100000
"Digits",1,0.100000
"Crazy Story, Pt. 3",1,0.100000
"Erase Your Social",1,0.100000
"Broke In A Minute",1,0.100000
"Location",1,0.100000
"Nuketown (feat. Juice WRLD)",2,0.200000
"From The D To The A (feat. Lil Yachty)",1,0.100000
"Who You Foolin",1,0.100000
"Coffin",1,0.100000
"Knife Talk (with 21 Savage ft. Project Pat)",1,0.100000
"Nonstop",1,0.100000
"PUFFIN ON ZOOTIEZ",1,0.100000
"Silly Watch",1,0.100000
"1400 / 999 Freestyle (feat. Juice WRLD)",1,0.100000
"The Grinch",1,0.100000
"The Percocet & Stripper Joint",1,0.100000
"Mr. Glock",1,0.100000
"Ready (feat. Gunna)",1,0.100000
"P power (feat. Drake)",1,0.100000
"Long Time - Intro",1,0.100000
"one of wun",2,0.200000
"Miss The Rage",1,0.100000
"ss",1,0.100000
"Camelot",1,0.100000
"Russian Cream",1,0.100000
"PTSD",1,0.100000
"ILoveUIHateU",1,0.100000
"Super Gremlin",1,0.100000
"Relationship (feat. Future)",1,0.100000
"Talk",2,0.200000
"Out thë way",1,0.100000
"Monëy so big",1,0.100000
"IDGAF (feat. Yeat)",1,0.100000
"iSpy (feat. Lil Yachty)",1,0.100000
"Fried (She a Vibe)",1,0.100000
"Tweaker",1,0.100000
"Suge",1,0.100000
"CARNIVAL",1,0.100000
"F.N",1,0.100000
"Headshot (feat. Polo G & Fivio Foreign)",1,0.100000
"hakuna matata",1,0.100000
"Moonwalking in Calabasas (feat. Blueface) - Remix",1,0.100000
"Sorry Bout That",1,0.100000
"Final Warning",1,0.100000
"Word on the Streets",1,0.100000
"Gët Busy",1,0.100000
"Stop Breathing",1,0.100000
"No Friends In The Industry",1,0.100000
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",1,0.100000
"Down Below",1,0.100000
"Dior",1,0.100000
"For The Night (feat. Lil Baby & DaBaby)",1,0.100000
"Hello (feat. A Boogie Wit da Hoodie)",1,0.100000
"The Woo (feat. 50 Cent & Roddy Ricch)",1,0.100000
"THE SCOTTS",1,0.100000
"Robbery",6,0.600000
"Poppin",1,0.100000
"Element",1,0.100000
"New Tank",1,0.100000
"Banking On Me",1,0.100000
"What’s Next",1,0.100000
"Noticed",1,0.100000
"INDUSTRY BABY (feat. Jack Harlow)",3,0.300000
"Masterpiece",2,0.200000
"Death (feat. DaBaby)",1,0.100000
"Invincible",1,0.100000
"Too Many Nights (feat. Don Toliver & with Future)",1,0.100000
"Ambition For Cash",1,0.100000
"Start Wit Me (feat. Gunna)",1,0.100000
"We Don't Trust You",1,0.100000
"Tyler Herro",1,0.100000
"Ima Boss (feat. Rick Ross)",1,0.100000
"Just Wanna Rock",1,0.100000
"Party Girl",1,0.100000
"PAINTING PICTURES",1,0.100000
"MELTDOWN (feat. Drake)",1,0.100000
"On tha linë",1,0.100000
"Use Somebody",3,0.300000
"Can You Please (feat. GloRilla)",1,0.100000
"One Big Family",1,0.100000
"Bandit (with YoungBoy Never Broke Again)",1,0.100000
"Diva (feat. Lil Tecca)",1,0.100000
"Panda",2,0.200000
"Broccoli",1,0.100000
"WHO? WHAT!",1,0.100000
"EVIL J0RDAN",1,0.100000
"MOJO JOJO",1,0.100000
"PHILLY (with Travis Scott)",1,0.100000
